area_sqft,bedrooms,bathrooms,age_years,parking_spaces,price
3778,5,1,8,1,21677269
3817,3,2,5,3,21436925
1343,1,3,26,1,7712800
611,5,2,19,0,7788384
929,4,1,5,3,7946703
736,1,2,20,3,5034533
3408,1,1,12,3,17452345
3621,1,3,1,3,20226770
1036,2,3,13,3,7451118
3113,1,1,5,1,15252322
1127,4,2,7,0,9800561
1785,3,3,27,2,11636540
2597,5,3,22,0,16484132
3019,4,1,4,1,17326658
3560,4,2,26,2,19428100
656,3,2,17,3,6596110
1187,1,2,27,1,6115313
1481,1,1,23,1,7143211
1586,4,1,10,2,10976299
3993,1,3,16,0,19429464
3220,1,1,16,2,15856065
1621,2,1,22,2,10351622
3901,5,1,7,2,21416007
2247,3,1,10,1,13023506
2252,4,1,7,3,13953905
2017,3,2,9,1,12765201
1003,1,3,4,2,7436779
3770,2,1,1,1,19745927
548,1,1,29,0,3003753
1109,4,1,2,2,9286711
1303,1,2,27,0,7079526
1477,2,1,0,3,8424351
961,5,3,24,2,10219726
562,3,2,10,1,6066531
2871,3,3,16,1,17108422
3892,3,2,8,2,20604062
926,4,2,15,1,7651615
1537,2,3,13,1,9989469
2272,4,2,16,1,14065481
3746,5,3,12,1,22448534
2929,3,3,16,3,17872758
3181,3,2,25,0,15781890
2533,1,3,13,3,14585410
1959,2,1,11,1,10719641
1199,5,3,4,2,11393609
3525,3,3,11,0,18776942
3314,2,3,3,1,18664524
587,3,1,5,3,4934446
3003,3,3,29,1,16837697
795,3,2,2,0,6331447
3086,4,1,14,2,17513729
3390,2,1,25,0,16145416
958,4,2,29,1,8095769
2018,3,1,4,1,12041672
933,5,1,5,2,8701431
2485,1,2,11,2,12879199
3746,1,2,17,2,19143441
783,3,1,29,3,6091648
1891,3,3,6,0,12216685
3905,4,3,5,1,22454277
1553,3,2,7,0,9454911
962,5,3,27,0,8973237
2210,3,2,0,0,12665092
2279,1,1,11,2,11981398
2820,1,1,3,3,14754311
1598,5,3,4,3,14734476
3844,1,3,28,2,18447932
2323,5,3,0,3,16952169
1502,2,1,9,0,9408144
3860,1,1,28,3,18715695
3736,2,1,18,3,18513894
2247,4,1,2,0,13923484
587,3,1,14,1,5192500
2589,4,2,30,3,15441478
2443,4,1,12,1,14094160
1018,3,3,16,3,8686340
2718,4,2,16,3,15781974
3442,5,1,20,1,19406562
870,3,2,5,0,7490010
3031,1,3,26,1,15075790
991,3,1,30,0,5151975
3120,5,1,4,1,19184266
1966,2,1,25,2,10479263
522,5,3,25,1,6785992
3881,3,1,22,0,19224200
1080,4,2,11,1,8209665
2586,2,2,14,2,13724295
1135,5,3,26,0,9338594
3765,1,1,4,0,18756710
3084,2,3,25,3,16458248
3315,3,3,28,0,18037607
2012,3,2,21,1,11584842
2135,3,1,10,0,12231474
2720,1,3,17,0,13919302
3246,2,1,1,1,17443528
3464,1,2,28,2,16420594
562,3,2,10,0,4842736
2822,2,1,1,0,14158025
882,3,2,24,0,6103061
1507,3,1,20,2,8656970
3403,4,1,19,3,19118606
1376,3,1,1,0,8909116
3288,4,1,23,1,18883303
2120,3,2,19,1,11571143
1314,4,3,24,1,10064817
1669,4,1,25,0,9496523
2357,2,1,6,0,12259799
3178,2,1,6,2,16771710
2621,4,2,28,1,13881814
3766,2,1,16,1,18715413
3537,3,2,13,1,20067954
3136,1,1,8,3,15635281
2610,3,1,19,2,14424904
1514,3,2,23,1,10025461
1944,4,2,0,0,13066023
916,3,2,17,3,7331520
1809,2,3,30,3,9652632
3742,5,2,8,0,21959495
1990,3,3,8,3,13448416
