age,study_hours_per_day,attendance_percent,assignment_score,exam_score,sleep_hours,screen_time_hours,final_result
26,1.88,56.42,47.63,25.33,6.17,4.21,0
36,1.37,75.67,63.71,50.91,5.91,5.52,0
26,3.11,82.65,72.42,61.78,6.51,5.48,0
28,2.54,74.98,41.72,42.78,7.46,5.82,0
23,4.89,77.49,75.31,81.84,7.38,3.89,1
26,2.9,72.15,60.7,48.69,6.05,7.46,0
27,1.75,69.47,58.48,74.27,5.78,2.86,0
22,2.96,71.21,48.92,49.02,6.36,7.56,0
26,4.71,85.0,85.0,89.6,7.18,5.77,1
28,5.19,84.34,76.33,96.87,6.64,3.91,1
28,2.46,59.0,78.75,53.94,4.99,6.8,0
29,5.35,90.89,90.04,81.55,8.33,3.33,1
26,4.94,90.07,82.99,86.83,7.7,3.33,1
29,2.75,57.56,68.38,60.69,7.31,6.24,0
30,3.35,90.41,82.6,95.97,7.19,2.38,1
32,3.26,61.86,39.95,46.44,7.36,3.67,0
29,6.43,93.25,88.9,78.43,7.18,3.21,1
23,4.29,80.68,82.47,80.99,7.97,4.33,1
29,2.04,78.83,55.97,41.24,8.16,7.46,0
24,2.85,57.44,63.3,43.11,5.3,6.13,0
30,4.92,98.08,93.63,90.1,6.82,5.93,1
29,3.08,58.29,55.51,49.38,4.94,4.22,0
33,6.21,91.16,74.89,83.86,6.34,5.07,1
33,5.2,61.38,49.69,53.41,5.48,7.17,0
36,3.81,78.22,56.93,46.49,6.59,4.46,0
29,7.14,87.8,70.84,92.31,7.45,5.12,1
22,5.91,76.32,75.28,77.54,6.74,4.73,1
25,2.94,67.9,56.72,36.38,6.34,5.67,0
28,2.45,61.45,42.85,75.7,6.71,6.7,0
24,5.53,90.52,82.86,83.04,6.1,3.93,1
24,2.86,67.85,52.08,55.15,6.38,7.01,0
31,7.18,93.81,85.6,80.75,6.4,5.37,1
29,2.81,68.96,61.94,32.1,5.76,8.07,0
23,2.64,60.28,60.36,55.2,5.79,6.56,0
28,5.63,87.84,83.4,82.44,7.88,5.47,1
27,4.49,86.82,78.8,74.58,7.26,5.35,1
25,2.23,53.93,69.44,46.44,7.15,4.97,0
31,5.29,96.36,77.5,73.47,6.87,2.77,1
35,2.53,51.01,57.34,49.23,5.4,5.05,0
24,4.0,61.93,51.48,41.56,6.17,6.49,0
28,1.96,69.79,63.01,52.2,6.41,5.49,0
29,5.11,76.85,96.44,86.23,7.96,3.96,1
20,6.39,80.16,68.93,79.75,7.83,5.27,1
25,5.55,82.54,80.81,86.37,5.94,3.79,1
21,1.97,66.96,52.24,57.46,7.65,6.79,0
31,1.81,73.16,66.29,56.88,6.17,9.09,0
18,2.98,61.53,48.96,68.99,5.97,7.64,0
27,2.32,70.66,70.01,54.59,5.71,9.1,0
34,2.19,77.43,39.29,51.0,6.73,6.02,0
28,2.98,79.61,51.37,51.23,8.04,7.76,0
25,2.79,68.17,55.79,56.42,5.64,6.92,0
26,1.82,66.26,77.65,62.2,5.74,6.04,0
30,4.85,83.81,77.78,84.88,7.31,4.92,1
26,3.14,63.2,56.44,66.54,5.76,7.89,0
30,2.16,68.78,58.99,25.84,6.27,6.44,0
34,6.71,79.73,85.27,77.45,8.12,0.88,1
18,2.45,65.43,47.18,55.81,6.57,7.56,0
23,3.08,73.46,64.14,56.2,6.17,7.41,0
30,7.71,96.96,74.16,80.98,7.21,4.99,1
21,2.72,60.48,48.21,46.69,6.32,4.14,0
24,5.56,81.29,95.11,78.8,8.65,3.76,1
33,2.33,68.1,48.22,71.54,6.91,9.2,0
27,5.69,84.67,76.86,86.57,6.02,4.75,1
25,2.56,61.82,65.51,67.01,7.05,4.35,0
37,1.9,60.82,48.44,71.83,5.13,9.32,0
35,8.08,82.37,80.97,86.27,7.4,5.53,1
37,4.19,89.53,104.35,78.1,6.82,3.8,1
22,5.64,74.2,81.75,91.6,8.18,4.72,1
29,2.35,71.07,58.72,34.75,6.86,9.03,0
23,2.33,70.59,52.69,60.29,5.7,5.83,0
26,4.13,83.07,69.62,83.83,7.36,2.84,1
29,2.17,54.29,63.77,58.59,6.43,9.2,0
23,3.61,65.84,64.33,59.49,5.81,7.1,0
21,6.89,84.75,88.18,84.53,7.65,4.97,1
33,1.08,70.73,49.4,52.36,7.44,8.76,0
33,5.77,93.43,82.15,85.33,7.59,4.11,1
27,5.4,82.09,74.93,85.67,6.94,5.85,1
28,3.64,80.41,37.62,56.26,6.43,5.52,0
22,3.13,70.93,55.3,57.05,6.07,7.48,0
25,5.94,82.61,81.44,82.88,7.39,5.25,1
19,4.73,80.17,84.11,79.26,6.59,3.44,1
29,7.17,77.47,88.4,88.71,8.17,4.5,1
33,1.84,59.98,53.13,55.65,5.95,8.18,0
27,6.13,77.77,80.41,81.26,7.04,5.29,1
29,4.7,90.45,78.74,75.75,6.77,5.64,1
32,5.78,80.4,86.42,80.47,6.7,4.32,1
22,2.06,67.56,49.44,66.16,7.09,8.07,0
22,4.74,101.61,76.41,71.19,7.46,4.14,1
21,1.91,71.3,74.87,40.81,6.14,6.87,0
39,2.82,78.95,35.89,52.98,7.64,7.15,0
27,4.28,87.11,85.28,97.57,6.48,5.78,1
21,6.99,83.6,89.21,89.32,7.13,1.74,1
26,2.91,56.96,49.5,65.81,5.91,4.3,0
28,0.23,55.73,66.71,49.01,7.44,9.61,0
25,4.66,83.34,74.83,89.88,7.05,4.27,1
22,1.5,68.93,47.92,56.65,6.47,5.77,0
27,5.36,88.52,90.97,83.74,7.0,5.94,1
28,6.03,82.34,71.93,95.87,7.72,5.98,1
24,5.54,70.45,78.83,81.93,6.09,6.15,1
21,5.54,81.99,95.19,92.52,6.44,5.85,1
33,6.46,82.37,78.58,90.99,7.13,3.57,1
31,2.02,73.98,48.14,64.57,5.42,6.54,0
30,1.63,62.01,53.92,67.14,5.89,6.8,0
29,3.09,67.29,61.34,55.29,7.14,6.44,0
25,5.35,92.24,92.8,94.65,8.19,5.64,1
32,3.51,84.49,58.18,58.39,6.06,7.28,0
26,6.06,93.97,81.85,91.75,7.11,2.57,1
18,5.47,85.17,79.96,95.48,8.41,5.52,1
25,2.08,73.49,65.71,58.82,6.38,6.68,0
18,2.17,85.23,50.37,39.52,5.84,5.83,0
27,4.4,73.03,69.2,67.04,6.7,6.4,0
25,2.04,63.79,45.89,60.38,5.59,6.43,0
30,5.31,88.67,90.04,87.86,6.87,5.61,1
29,2.0,66.86,53.67,74.3,6.58,7.45,0
22,5.18,80.96,72.5,88.31,7.75,2.93,1
29,4.1,77.13,82.62,76.95,6.09,5.77,1
28,7.03,90.33,85.39,74.16,6.34,4.5,1
23,6.42,82.83,86.33,90.83,7.02,4.5,1
30,4.41,83.81,84.05,89.17,6.98,6.13,1
35,3.03,64.79,65.55,56.17,5.01,8.66,0
31,5.73,93.2,87.36,87.6,7.88,4.3,1
25,2.94,69.2,58.47,62.84,6.39,4.76,0
29,4.58,98.99,88.19,89.93,5.98,3.37,1
26,7.25,87.1,92.34,91.98,7.83,4.77,1
29,3.31,74.6,51.0,58.08,8.25,6.87,0
22,3.0,66.82,43.78,36.8,7.06,5.75,0
25,2.31,72.99,88.79,55.61,6.14,8.85,0
20,2.09,51.46,62.79,48.13,7.05,8.12,0
23,5.65,87.35,79.66,84.58,9.05,3.84,1
34,6.04,89.39,78.62,87.58,7.12,2.88,1
27,4.31,84.96,90.55,82.33,7.11,5.21,1
26,2.89,79.8,77.09,67.39,5.79,7.03,0
21,2.27,64.25,50.03,51.59,6.59,6.08,0
25,4.79,84.06,92.45,83.07,7.4,5.29,1
21,5.21,89.52,96.4,87.51,8.32,4.49,1
29,3.1,69.95,72.8,73.36,6.37,7.81,0
31,3.1,63.38,52.23,59.89,6.03,6.54,0
26,5.58,88.4,65.46,77.51,7.14,3.51,1
24,2.39,81.03,53.41,57.82,6.67,4.66,0
22,2.51,77.26,63.77,44.11,5.62,5.66,0
28,6.69,87.11,85.17,88.7,6.96,3.13,1
35,2.15,67.74,53.22,40.92,6.61,5.81,0
31,5.83,79.72,81.3,86.45,6.75,3.69,1
30,2.68,61.37,57.37,63.33,5.46,7.05,0
29,4.89,78.82,79.02,84.86,7.08,6.21,1
27,5.43,85.2,88.43,79.64,6.45,4.61,1
21,1.62,55.24,58.87,49.25,5.7,8.6,0
26,5.97,90.04,80.23,93.2,7.3,4.73,1
31,4.6,75.44,75.33,93.62,7.51,3.52,1
29,5.81,96.27,86.07,81.43,7.25,0.97,1
28,3.74,67.08,61.71,65.16,5.69,5.64,0
29,2.83,61.4,51.53,64.05,6.87,4.97,0
27,3.29,80.26,57.5,48.98,5.85,8.49,0
24,5.63,78.98,87.45,88.06,8.53,2.37,1
32,3.66,84.51,83.24,76.62,6.63,4.97,1
35,3.51,93.11,75.85,88.44,6.36,3.55,1
26,5.49,87.09,85.06,84.49,6.89,3.87,1
26,3.05,76.79,58.35,54.39,6.3,6.83,0
27,2.95,98.37,80.69,81.77,7.46,5.3,1
29,5.19,88.37,76.74,82.77,6.77,4.34,1
30,3.52,74.33,61.11,53.62,6.0,7.07,0
31,6.74,89.05,78.3,80.95,6.91,3.01,1
27,2.71,67.83,52.7,59.55,5.44,6.79,0
35,3.31,66.01,61.27,40.17,5.1,6.46,0
28,1.75,68.61,41.94,53.26,6.5,4.33,0
31,6.73,91.98,80.41,86.87,7.9,2.23,1
32,4.78,86.72,76.98,69.15,8.33,5.13,1
35,5.44,84.5,80.1,77.18,7.38,5.63,1
31,5.16,91.6,79.17,73.8,6.15,3.04,1
32,2.7,54.37,66.3,73.32,6.67,6.84,0
22,3.17,67.13,55.61,54.64,7.36,6.79,0
36,1.13,68.59,60.48,60.2,7.68,8.86,0
28,2.55,76.47,43.21,49.06,6.19,7.42,0
27,5.66,82.69,82.17,70.87,7.42,4.89,1
26,1.67,72.38,52.46,35.43,5.51,7.47,0
30,4.12,68.2,41.31,68.71,5.79,6.69,0
31,5.51,82.52,80.74,82.28,5.94,4.82,1
32,2.28,73.52,52.23,47.16,7.03,6.37,0
21,2.62,64.23,73.23,52.3,5.34,9.27,0
23,6.1,83.38,87.97,79.15,8.57,3.96,1
27,4.8,82.72,86.87,85.18,7.39,1.94,1
32,2.19,61.42,57.92,51.31,6.54,4.58,0
21,2.51,75.77,55.81,63.18,5.62,9.71,0
26,3.52,89.89,89.56,74.76,6.56,4.12,1
37,5.39,86.34,82.47,86.32,7.92,4.18,1
28,6.04,90.55,81.98,81.53,6.14,3.72,1
21,2.74,84.74,71.67,69.8,6.98,5.45,0
36,6.32,78.65,71.06,89.19,8.76,4.34,1
18,1.85,73.69,60.9,57.32,6.36,8.48,0
30,2.65,63.2,41.38,42.58,5.47,7.14,0
23,5.92,95.01,76.38,97.3,7.02,3.52,1
30,6.04,88.74,65.03,68.79,7.76,3.58,1
29,1.44,63.49,66.82,40.75,4.87,5.65,0
26,5.89,89.98,74.5,83.27,7.58,3.67,1
22,5.5,101.35,91.89,84.81,6.93,4.86,1
31,6.59,93.74,84.26,95.29,6.36,4.82,1
28,3.94,82.06,90.59,85.26,7.5,3.61,1
19,3.17,78.44,56.88,81.9,7.12,6.36,0
33,2.61,56.74,56.1,54.4,6.75,5.46,0
26,1.66,77.44,33.28,61.52,6.33,5.0,0
20,6.06,80.9,81.46,72.79,7.55,4.38,1
24,5.89,79.38,90.15,89.66,7.05,5.99,1
27,5.99,86.09,77.32,85.36,7.37,4.74,1
18,6.33,89.22,80.57,87.42,8.44,4.33,1
18,4.81,89.48,80.64,83.17,7.3,4.84,1
26,1.63,63.94,49.39,38.47,5.18,6.35,0
27,4.6,87.61,85.61,85.33,7.99,2.1,1
32,2.01,73.36,52.9,47.02,6.72,7.83,0
27,5.12,88.76,81.81,88.11,7.11,5.46,1
31,6.59,89.23,87.56,87.59,6.43,4.57,1
18,6.49,96.21,91.62,88.75,6.97,3.46,1
36,2.66,72.88,63.04,69.91,7.04,8.42,0
30,2.16,72.98,53.88,61.67,5.74,7.09,0
31,3.24,66.72,63.63,42.83,5.83,8.67,0
30,1.63,73.74,80.71,36.27,7.04,7.47,0
27,2.74,63.52,67.55,44.86,5.12,5.91,0
28,2.96,51.69,53.85,44.24,5.78,4.0,0
24,3.22,68.38,60.54,39.51,7.15,5.53,0
19,1.7,66.29,44.17,62.66,6.22,6.87,0
27,1.99,61.28,64.39,62.94,5.12,7.68,0
23,4.29,81.46,84.57,82.31,6.73,4.76,1
32,2.34,75.8,50.44,43.87,6.65,7.16,0
33,2.42,71.94,46.7,67.75,6.74,3.44,0
25,3.26,74.86,44.01,52.04,6.28,4.62,0
33,7.99,93.04,61.55,82.82,7.2,4.01,1
18,1.93,74.51,60.14,42.62,6.12,8.87,0
25,2.04,75.6,68.06,62.82,6.99,6.17,0
22,4.83,85.84,92.59,77.0,5.69,4.26,1
21,6.45,95.25,74.56,85.49,7.64,5.75,1
23,3.99,80.02,59.82,66.32,6.75,5.78,0
26,5.2,75.44,84.97,78.73,7.53,4.32,1
28,6.34,78.22,88.33,92.13,7.12,4.68,1
33,1.54,67.85,51.49,83.31,5.85,6.38,0
30,2.75,70.49,67.26,75.34,6.95,6.14,0
31,5.31,94.83,79.39,95.31,7.32,4.48,1
26,7.13,81.48,61.89,82.19,7.05,5.02,1
28,4.13,92.14,90.31,91.53,7.99,2.64,1
28,4.95,95.37,78.27,85.41,7.28,5.12,1
28,7.65,80.69,94.98,87.83,6.51,5.86,1
30,2.86,70.58,58.49,57.18,7.2,7.35,0
30,2.54,62.25,49.24,52.46,6.22,6.43,0
31,4.17,87.7,86.85,72.69,7.4,7.81,1
24,5.33,87.44,77.48,79.42,8.02,3.71,1
27,1.93,72.76,34.98,60.19,5.75,4.96,0
30,4.26,85.91,74.01,93.22,6.86,4.43,1
20,4.56,85.27,78.87,79.72,5.43,5.24,1
27,5.3,81.93,94.41,80.68,5.88,5.41,1
36,5.49,88.29,93.37,90.67,6.41,5.55,1
29,2.94,59.53,61.77,39.53,5.55,8.57,0
20,2.58,58.53,61.38,57.15,8.22,6.11,0
29,5.07,75.19,78.14,86.28,7.16,6.01,1
27,2.78,77.9,51.96,52.97,5.78,7.36,0
30,2.63,83.01,54.15,50.88,5.4,7.82,0
28,5.67,82.14,87.16,80.25,8.11,5.5,1
23,1.49,82.04,74.76,36.19,5.56,5.64,0
32,5.28,89.56,100.13,84.15,7.16,5.48,1
35,1.88,68.78,55.25,46.3,6.77,8.11,0
26,6.07,86.19,73.81,85.98,7.18,3.73,1
36,1.19,71.98,63.43,32.19,7.33,5.48,0
37,3.39,59.46,53.12,40.92,5.53,7.84,0
30,5.56,93.18,82.79,84.31,5.81,5.66,1
26,3.99,68.04,69.68,47.25,5.69,6.59,0
