City,cost_one_person_usd,rent_one_person_usd,monthly_salary_after_tax_usd,income_after_rent_usd,months_covered,cost_one_person_inr,rent_one_person_inr,monthly_salary_after_tax_inr,income_after_rent_inr
 Bijapur,333,125,179,54,0.5,29258.65,10982.98,15727.62,4744.65
 Davanagere,295,121,330,209,1.1,25919.82,10631.52,28995.05,18363.53
 Gulbarga,303,70.5,280,209.5,1.1,26622.73,6194.4,24601.86,18407.47
 Hospet,328,80.1,180,99.9,0.7,28819.33,7037.89,15815.48,8777.59
 Hubli,355,127,389,262,1.1,31191.65,11158.7,34179.02,23020.32
 Mangalore,344,161,215,54,0.5,30225.15,14146.07,18890.72,4744.65
 Mysore,296,111,531,420,1.5,26007.68,9752.88,46655.68,36902.8
 Shimoga,535,114,203,89,0.6,47007.13,10016.47,17836.35,7819.88
 Tumkur,333,159,197,38,0.6,29258.65,13970.34,17309.17,3338.82
 Udupi,285,93.4,244,150.6,0.9,25041.18,8206.48,21438.77,13232.29
 Ernakulam,646,127,237,110,0.7,56760.01,11158.7,20823.72,9665.02
 Kannur,317,108,255,147,0.8,27852.82,9489.29,22405.27,12915.98
" Kochi, Kerala",646,134,337,203,0.9,56760.01,11773.75,29610.1,17836.35
 Kollam,253,72.7,262,189.3,1,22229.54,6387.7,23020.32,16632.62
 Kottayam,646,87.2,389,301.8,1.3,56760.01,7661.72,34179.02,26517.29
 Kozhikode,437,96,245,149,0.8,38396.48,8434.92,21526.63,13091.71
 Malappuram,463,94.6,231,136.4,0.8,40680.94,8311.92,20296.54,11984.62
 Thiruvananthapuram,646,127,227,100,0.7,56760.01,11158.7,19945.08,8786.38
 Thrissur,646,132,325,193,0.9,56760.01,11598.02,28555.74,16957.71
 Varkala,308,94.4,253,158.6,0.8,27062.05,8294.34,22229.54,13935.2
 Akola,297,99.8,366,266.2,1.2,26095.55,8768.81,32158.15,23389.34
 Amravati,487,87.9,414,326.1,1.3,42789.67,7723.23,36375.61,28652.39
 Aurangabad,355,114,459,345,1.3,31191.65,10016.47,40329.48,30313.01
 Bhiwandi,305,150,590,440,1.6,26798.46,13179.57,51839.64,38660.07
 Ichalkaranji,297,99.3,243,143.7,0.8,26095.55,8724.88,21350.9,12626.03
 Jalgaon,303,111,445,334,1.5,26622.73,9752.88,39099.39,29346.51
 Kalyan,305,160,633,473,1.6,26798.46,14058.21,55617.79,41559.58
 Kolhapur,309,93.7,276,182.3,0.9,27149.91,8232.84,24250.41,16017.57
 Latur,277,120,399,279,1,24338.27,10543.66,35057.66,24514
 Malegaon,382,144,411,267,1.1,33563.97,12652.39,36112.02,23459.63
 Mumbai,705,401,222,-179,0.3,61943.98,35233.38,19505.76,-15727.62
 Nagpur,291,227,293,66,0.5,25568.37,19945.08,25744.09,5799.01
 Nanded,264,99.9,369,269.1,1.1,23196.04,8777.59,32421.74,23644.15
 Nashik,350,114,561,447,1.6,30752.33,10016.47,49291.59,39275.12
 Navi Mumbai,503,261,680,419,1.4,44195.49,22932.45,59747.38,36814.93
 Pune,517,209,490,281,0.9,45425.58,18363.53,43053.26,24689.73
 Sangli,297,92.6,237,144.4,0.8,26095.55,8136.19,20823.72,12687.53
 Satara,310,72.6,210,137.4,0.8,27237.78,6378.91,18451.4,12072.49
 Solapur,340,84.1,437,352.9,1.5,29873.69,7389.35,38396.48,31007.14
 Thane,487,233,629,396,1.3,42789.67,20472.27,55266.33,34794.06
 Vasai,310,90.3,712,621.7,2.7,27237.78,7934.1,62559.03,54624.92
 Shillong,354,169,199,30,0.6,31103.79,14848.98,17484.9,2635.91
 Imphal,321,103,199,96,0.5,28204.28,9049.97,17484.9,8434.92
 Bhopal,339,107,316,209,0.9,29785.83,9401.43,27764.96,18363.53
 Gwalior,329,111,360,249,1.1,28907.19,9752.88,31630.97,21878.09
 Indore,361,128,332,204,0.9,31718.83,11246.57,29170.78,17924.22
 Jabalpur,320,98.4,371,272.6,1.3,28116.42,8645.8,32597.47,23951.67
 Ratlam,293,112,349,237,1.2,25744.09,9840.75,30664.47,20823.72
 Satna,306,103,306,203,1,26886.32,9049.97,26886.32,17836.35
 Ujjain,487,69.6,292,222.4,1.1,42789.67,6115.32,25656.23,19540.91
 Vidisha,334,109,214,105,0.6,29346.51,9577.15,18802.85,9225.7
 Aizawl,321,143,347,204,0.8,28204.28,12564.52,30488.74,17924.22
 Bhubaneswar,290,124,419,295,1.1,25480.5,10895.11,36814.93,25919.82
 Cuttack,312,117,201,84,0.6,27413.51,10280.06,17660.62,7380.56
 Puri,363,79.3,198,118.7,0.7,31894.56,6967.6,17397.03,10429.43
 Rourkela,328,66.7,377,310.3,1.3,28819.33,5860.52,33124.65,27264.14
 Amritsar,380,129,346,217,0.9,33388.24,11334.43,30400.87,19066.44
 Chandigarh,427,139,331,192,0.9,37517.84,12213.07,29082.92,16869.85
 Jalandhar,337,113,460,347,1.4,29610.1,9928.61,40417.35,30488.74
 Ludhiana,427,156,365,209,0.9,37517.84,13706.75,32070.29,18363.53
 Pathankot,311,123,457,334,1.3,27325.64,10807.25,40153.76,29346.51
 Patiala,427,131,447,316,1.3,37517.84,11510.16,39275.12,27764.96
 Pondicherry,327,128,421,293,1.3,28731.46,11246.57,36990.66,25744.09
 Ajmer,274,87.8,353,265.2,1.3,24074.68,7714.44,31015.92,23301.48
 Alwar,427,75.6,367,291.4,1.4,37517.84,6642.5,32246.01,25603.51
 Bhilwara,382,105,361,256,1.1,33563.97,9225.7,31718.83,22493.13
 Bikaner,290,93.7,367,273.3,1.3,25480.5,8232.84,32246.01,24013.18
 Jaipur,337,125,341,216,0.9,29610.1,10982.98,29961.56,18978.58
 Jodhpur,301,114,326,212,1,26447,10016.47,28643.6,18627.13
" Kota, Rajasthan",290,115,361,246,1.1,25480.5,10104.34,31718.83,21614.49
 Pali,301,105,275,170,0.9,26447,9225.7,24162.54,14936.85
 Sikar,335,124,368,244,1.1,29434.37,10895.11,32333.88,21438.77
 Udaipur,382,83.2,334,250.8,1.1,33563.97,7310.27,29346.51,22036.24
" Hyderabad, Telangana",470,170,290,120,0.6,41295.99,14936.85,25480.5,10543.66
 Karimnagar,363,139,293,154,0.8,31894.56,12213.07,25744.09,13531.03
 Khammam,310,80.9,313,232.1,1.2,27237.78,7108.18,27501.37,20393.19
 Mahbubnagar,353,131,310,179,0.9,31015.92,11510.16,27237.78,15727.62
 Nalgonda,310,63.9,563,499.1,2.1,27237.78,5614.5,49467.32,43852.82
 Nizamabad,368,90.5,301,210.5,1,32333.88,7951.67,26447,18495.33
 Ramagundam,366,135,289,154,0.8,32158.15,11861.61,25392.64,13531.03
 Secunderabad,398,156,202,46,0.5,34969.79,13706.75,17748.49,4041.73
 Warangal,358,182,480,298,1.3,31455.24,15991.21,42174.62,26183.41
 Chennai,470,159,321,162,0.7,41295.99,13970.34,28204.28,14233.94
 Coimbatore,355,114,389,275,1.2,31191.65,10016.47,34179.02,24162.54
 Cuddalore,277,105,395,290,1.3,24338.27,9225.7,34706.2,25480.5
 Dindigul,646,121,348,227,1.1,56760.01,10631.52,30576.6,19945.08
 Erode,286,116,245,129,0.9,25129.05,10192.2,21526.63,11334.43
 Madurai,646,97.4,322,224.6,0.9,56760.01,8557.93,28292.14,19734.21
 Nagercoil,646,93.9,229,135.1,0.8,56760.01,8250.41,20120.81,11870.4
" Salem, Tamil Nadu",345,84.1,375,290.9,1.3,30313.01,7389.35,32948.92,25559.58
 Thanjavur,646,89.7,225,135.3,0.8,56760.01,7881.38,19769.35,11887.97
 Thoothukudi,646,83.5,270,186.5,0.9,56760.01,7336.63,23723.23,16386.6
 Tiruchirappalli,300,102,279,177,0.9,26359.14,8962.11,24514,15551.89
 Tirunelveli,646,92.1,235,142.9,0.9,56760.01,8092.26,20647.99,12555.74
 Tiruppur,345,143,415,272,1.2,30313.01,12564.52,36463.48,23898.95
 Vellore,382,60.3,496,435.7,2.1,33563.97,5298.19,43580.44,38282.26
 Agartala,362,101,387,286,1.1,31806.7,8874.24,34003.29,25129.05
 Agra,264,109,564,455,1.5,23196.04,9577.15,49555.18,39978.03
 Aligarh,322,82.5,248,165.5,0.8,28292.14,7248.76,21790.22,14541.46
 Allahabad,386,105,387,282,1.3,33915.43,9225.7,34003.29,24777.59
 Bareilly,290,89.7,427,337.3,1.5,25480.5,7881.38,37517.84,29636.46
 Ghaziabad,372,119,454,335,1.2,32685.33,10455.79,39890.17,29434.37
 Gorakhpur,298,95.1,211,115.9,0.7,26183.41,8355.85,18539.26,10183.41
 Jaunpur,386,92.8,343,250.2,1.2,33915.43,8153.76,30137.28,21983.52
 Jhansi,345,129,424,295,1.2,30313.01,11334.43,37254.25,25919.82
 Kanpur,320,99.6,432,332.4,1.3,28116.42,8751.23,37957.16,29205.93
 Lucknow,386,113,352,239,1,33915.43,9928.61,30928.06,20999.45
 Mathura,293,84.3,491,406.7,1.7,25744.09,7406.92,43141.13,35734.21
 Meerut,350,135,559,424,1.6,30752.33,11861.61,49115.86,37254.25
 Mirzapur,276,90.1,406,315.9,1.5,24250.41,7916.53,35672.7,27756.17
 Moradabad,290,79.7,491,411.3,1.7,25480.5,7002.74,43141.13,36138.38
 Noida,437,187,492,305,1.1,38396.48,16430.53,43228.99,26798.46
 Saharanpur,427,104,333,229,1.2,37517.84,9137.84,29258.65,20120.81
 Sambhal,301,98.2,507,408.8,1.7,26447,8628.23,44546.95,35918.72
 Varanasi,273,74.7,356,281.3,1.3,23986.82,6563.43,31279.51,24716.09
 Dehradun,427,160,225,65,0.6,37517.84,14058.21,19769.35,5711.15
 Rishikesh,427,147,224,77,0.6,37517.84,12915.98,19681.49,6765.51
 Asansol,286,86,383,297,1.3,25129.05,7556.29,33651.84,26095.55
 Bally,318,116,364,248,1.1,27940.69,10192.2,31982.42,21790.22
 Balurghat,297,100,334,234,1.1,26095.55,8786.38,29346.51,20560.13
 Baranagar,301,116,370,254,1.2,26447,10192.2,32509.61,22317.41
 Barasat,301,124,381,257,1.1,26447,10895.11,33476.11,22581
 Bardhaman,302,101,453,352,1.5,26534.87,8874.24,39802.3,30928.06
 Barrackpore,315,116,277,161,0.9,27677.1,10192.2,24338.27,14146.07
 Berhampore,294,96.5,403,306.5,1.4,25831.96,8478.86,35409.11,26930.25
 Bhatpara,320,112,378,266,1.2,28116.42,9840.75,33212.52,23371.77
 Bidhannagar,301,119,383,264,1.1,26447,10455.79,33651.84,23196.04
 Chandannagar,313,113,375,262,1.2,27501.37,9928.61,32948.92,23020.32
 Durgapur,289,93,282,189,1,25392.64,8171.33,24777.59,16606.26
 Haldia,376,160,387,227,1,33036.79,14058.21,34003.29,19945.08
 Howrah,301,114,455,341,1.4,26447,10016.47,39978.03,29961.56
 Hugli-Chuchura,312,112,375,263,1.2,27413.51,9840.75,32948.92,23108.18
 Kamarhati,320,116,351,235,1.1,28116.42,10192.2,30840.19,20647.99
 Kharagpur,277,95.5,402,306.5,1.5,24338.27,8390.99,35321.25,26930.25
 Kolkata,301,121,354,233,1,26447,10631.52,31103.79,20472.27
 Krishnanagar,272,73.1,401,327.9,1.5,23898.95,6422.84,35233.38,28810.54
 Kulti,289,92.6,298,205.4,1,25392.64,8136.19,26183.41,18047.22
 Madhyamgram,317,115,372,257,1.2,27852.82,10104.34,32685.33,22581
 Maheshtala,344,129,392,263,1.1,30225.15,11334.43,34442.61,23108.18
 Malda,274,99.1,405,305.9,1.4,24074.68,8707.3,35584.84,26877.54
 Midnapore,287,101,399,298,1.4,25216.91,8874.24,35057.66,26183.41
 Naihati,301,111,364,253,1.2,26447,9752.88,31982.42,22229.54
 North Dumdum,301,117,371,254,1.2,26447,10280.06,32597.47,22317.41
 Panihati,301,117,281,164,0.9,26447,10280.06,24689.73,14409.66
 Raiganj,298,99.7,380,280.3,1.3,26183.41,8760.02,33388.24,24628.22
 Rajarhat,301,118,376,258,1.1,26447,10367.93,33036.79,22668.86
 Rajpur Sonarpur,301,119,382,263,1.2,26447,10455.79,33563.97,23108.18
 Serampore,315,115,380,265,1.2,27677.1,10104.34,33388.24,23283.91
 Shantipur,301,86.1,288,201.9,1,26447,7565.07,25304.77,17739.7
 Siliguri,297,91.2,279,187.8,0.9,26095.55,8013.18,24514,16500.82
 South Dumdum,301,118,370,252,1.1,26447,10367.93,32509.61,22141.68
 Uluberia,324,119,376,257,1.2,28467.87,10455.79,33036.79,22581
 Uttarpara,312,116,291,175,0.9,27413.51,10192.2,25568.37,15376.16
 Alleppey,342,112.5,301,188.5,0.9,30049.4196,9884.6775,26447.0038,16562.3263
